gene_symbol,hgnc_id,type,locus_type,JAX,MSK,NWU,UCSF,JAX_MorPhiC_Code,MSK_category,one2one_ortholog_hgnc,mgi_id,impc_viability,impc_phenotypes_homozygote,impc_phenotypes_heterozygote,impc_phenotypes_hemizygote,percentage_essential_all,mean_score_all,cellular_essential,omim,omim_name,dd,dd_name,dd_confidence_category,dd_allelic_requirement
DLX5,HGNC:2918,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,ExE040,-,y,MGI:101926,-,-,-,-,12.987.012.987.013,-970.594.092.748.928,n,omim_disease,"SPLIT-HAND/FOOT MALFORMATION 1 WITH SENSORINEURAL HEARING LOSS, AUTOSOMAL RECESSIVE|SPLIT-HAND/FOOT MALFORMATION 1",dd,SPLIT HAND AND FOOT MALFORMATION,limited,biallelic_autosomal
DLX6,HGNC:2919,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,ExE041,-,y,MGI:101927,-,-,-,-,371.057.513.914.657,-432.987.902.895.998,n,-,-,-,-,-,-
DMRTA1,HGNC:13826,approved_symbol,gene_with_protein_product,JAX,-,-,-,NE007,-,y,MGI:2653627,-,-,-,-,0,-100.847.613.979.892,n,-,-,-,-,-,-
EMX2,HGNC:3341,approved_symbol,gene_with_protein_product,JAX,-,NWU,-,NE023,-,y,MGI:95388,-,-,-,-,0,-353.183.817.646.568,n,omim_disease,SCHIZENCEPHALY,dd,"FAMILIAL SCHIZENCEPHALY, EMX2-RELATED",limited,monoallelic_autosomal
EN2,HGNC:3343,approved_symbol,gene_with_protein_product,JAX,-,-,-,NE016,-,y,MGI:95390,-,-,-,-,0,325.924.363.760.421,n,-,-,-,-,-,-
EPAS1,HGNC:3374,approved_symbol,gene_with_protein_product,JAX,-,NWU,-,ExE045,-,y,MGI:109169,lethal,"preweaning lethality, complete penetrance|increased total body fat amount",abnormal heart morphology|decreased hemoglobin content,-,834.879.406.307.978,-439.193.871.695.406,n,omim_disease,"ERYTHROCYTOSIS, FAMILIAL, 4",-,-,-,-
ESRRG,HGNC:3474,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,ExE048,-,y,MGI:1347056,-,-,-,-,371.057.513.914.657,-305.285.053.558.671,n,-,-,-,-,-,-
FDX1,HGNC:3638,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE010,-,y,MGI:103224,lethal,"preweaning lethality, complete penetrance",abnormal lens morphology|increased grip strength|abnormal retina morphology,-,13.821.892.393.321,-270.721.885.703.395,n,-,-,-,-,-,-
FEZF1,HGNC:22788,approved_symbol,gene_with_protein_product,JAX,-,NWU,-,NE014,-,y,MGI:1920441,-,-,-,-,0,804.584.680.308.855,n,omim_disease,HYPOGONADOTROPIC HYPOGONADISM 22 WITH OR WITHOUT ANOSMIA,dd,HYPOGONADOTROPIC HYPOGONADISM WITH OR WITHOUT ANOSMIA,strong,biallelic_autosomal
FEZF2,HGNC:13506,approved_symbol,gene_with_protein_product,JAX,-,-,-,NE015,-,y,MGI:1859823,-,-,-,-,0,159.491.195.226.367,n,-,-,-,-,-,-
FOSB,HGNC:3797,approved_symbol,gene_with_protein_product,JAX,-,-,UCSF,ExE035,-,y,MGI:95575,viable,enlarged heart|abnormal heart morphology|abnormal skin morphology|abnormal kidney morphology|enlarged kidney,-,-,0,-839.069.688.526.628,n,-,-,-,-,-,-
FOXG1,HGNC:3811,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,NE002,-,y,MGI:1347464,-,-,-,-,371.057.513.914.657,-396.620.417.079.757,n,omim_disease,"RETT SYNDROME, CONGENITAL VARIANT",dd,CONGENITAL VARIANT OF RETT SYNDROME,definitive,monoallelic_autosomal
GBX2,HGNC:4186,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,NE025,-,y,MGI:95668,-,-,-,-,927.643.784.786.642,-110.840.532.047.163,n,-,-,-,-,-,-
GPR32,HGNC:4487,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE001,-,-,-,-,-,-,-,0,-206.301.137.373.176,n,-,-,-,-,-,-
GPR78,HGNC:4528,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE005,-,-,-,-,-,-,-,0,418.455.272.530.096,n,-,-,-,-,-,-
GPR87,HGNC:4538,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE026,-,y,MGI:1934133,viable,-,-,-,927.643.784.786.642,-492.850.894.908.662,n,-,-,-,-,-,-
GPR157,HGNC:23687,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE011,-,y,MGI:2442046,viable,-,-,-,0,193.823.733.121.234,n,-,-,-,-,-,-
GRHL1,HGNC:17923,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE037,-,y,MGI:2182540,-,-,-,-,927.643.784.786.642,887.765.006.727.434,n,-,-,-,-,-,-
HES5,HGNC:19764,approved_symbol,gene_with_protein_product,JAX,-,-,UCSF,NE006,-,y,MGI:104876,-,-,-,-,649.350.649.350.649,-629.393.112.567.603,n,-,-,-,-,-,-
HEY1,HGNC:4880,approved_symbol,gene_with_protein_product,JAX,-,-,UCSF,ExE050,-,y,MGI:1341800,-,-,-,-,278.293.135.435.993,-404.732.813.236.021,n,-,-,-,-,-,-
HMGCS2,HGNC:5008,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE008,-,y,MGI:101939,viable,-,-,-,0,174.632.470.340.369,n,omim_disease,3-HYDROXY-3-METHYLGLUTARYL-CoA SYNTHASE-2 DEFICIENCY,dd,3-HYDROXY-3-METHYLGLUTARYL-COA SYNTHASE 2 DEFICIENCY,definitive,biallelic_autosomal
HOPX,HGNC:24961,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE030,-,y,MGI:1916782,-,-,-,-,0,-475.236.268.032.894,n,-,-,-,-,-,-
ISL1,HGNC:6132,approved_symbol,gene_with_protein_product,JAX,MSK,NWU,-,ExE033,Xianming (DH),y,MGI:101791,-,-,-,-,222.634.508.348.794,-642.485.837.015.435,n,-,-,-,-,-,-
LHX5,HGNC:14216,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,NE018,-,y,MGI:107792,lethal,"preweaning lethality, complete penetrance|no spontaneous movement",enlarged thymus|increased leukocyte cell number|abnormal thymus morphology|enlarged spleen|abnormal heart morphology|abnormal seminal vesicle morphology|small seminal vesicle|abnormal spleen morphology|enlarged heart|abnormal tooth morphology,-,463.821.892.393.321,-100.005.258.685.011,n,-,-,-,-,-,-
LHX9,HGNC:14222,approved_symbol,gene_with_protein_product,JAX,-,-,UCSF,NE011,-,y,MGI:1316721,-,-,-,-,0,-301.349.028.078.908,n,-,-,-,-,-,-
LMO2,HGNC:6642,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE004,-,y,MGI:102811,-,-,-,-,222.634.508.348.794,743.358.069.487.366,n,-,-,-,-,-,-
MAFF,HGNC:6780,approved_symbol,gene_with_protein_product,JAX,-,-,UCSF,ExE042,-,y,MGI:96910,-,-,-,-,371.057.513.914.657,-190.961.862.982.297,n,-,-,-,-,-,-
MEIS1,HGNC:7000,approved_symbol,gene_with_protein_product,JAX,MSK,NWU,UCSF,ExE044,"FUSIL ""developmental lethal""",y,MGI:104717,lethal,"preweaning lethality, complete penetrance",hyperactivity|increased bone mineral content|decreased prepulse inhibition|increased startle reflex,-,556.586.270.871.985,-605.711.524.552.647,n,-,-,-,-,-,-
MRGPRX1,HGNC:17962,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE003,-,-,-,-,-,-,-,556.586.270.871.985,-108.239.271.848.281,n,-,-,-,-,-,-
MSX2,HGNC:7392,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE052,-,y,MGI:97169,-,-,-,-,278.293.135.435.993,430.185.215.472.037,n,omim_disease,CRANIOSYNOSTOSIS 2|PARIETAL FORAMINA 1|PARIETAL FORAMINA WITH CLEIDOCRANIAL DYSPLASIA,dd,"ENLARGED PARIETAL FORAMINA/CRANIUM BIFIDUM|CRANIOSYNOSTOSIS, TYPE 2",definitive|definitive,monoallelic_autosomal|monoallelic_autosomal
MXD1,HGNC:6761,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE043,-,y,MGI:96908,-,-,-,-,0,488.433.258.393.044,n,-,-,-,-,-,-
NEURL1,HGNC:7761,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE013,-,y,MGI:1334263,-,-,-,-,278.293.135.435.993,-248.310.951.772.165,n,-,-,-,-,-,-
NEUROD4,HGNC:13802,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,NE009,-,y,MGI:108055,-,-,-,-,0,688.512.621.757.756,n,-,-,-,-,-,-
NKX6-2,HGNC:19321,approved_symbol,gene_with_protein_product,JAX,-,-,UCSF,NE021,-,y,MGI:1352738,-,-,-,-,0,225.995.200.122.717,n,omim_disease,"SPASTIC ATAXIA 8, AUTOSOMAL RECESSIVE, WITH HYPOMYELINATING LEUKODYSTROPHY",dd,Progressive Spastic Ataxia and Hypomyelination,strong,biallelic_autosomal
NR2F1,HGNC:7975,approved_symbol,gene_with_protein_product,JAX,-,NWU,-,NE012,-,y,MGI:1352451,lethal,"embryonic growth retardation|preweaning lethality, complete penetrance",abnormal auditory brainstem response,-,278.293.135.435.993,-164.063.960.013.373,n,omim_disease,BOSCH-BOONSTRA-SCHAAF OPTIC ATROPHY SYNDROME,dd,BOSCH-BOONSTRA OPTIC ATROPHY SYNDROME,definitive,monoallelic_autosomal
NR2F2,HGNC:7976,approved_symbol,gene_with_protein_product,JAX,-,NWU,-,ExE036,-,y,MGI:1352452,-,-,-,-,649.350.649.350.649,469.845.224.896.728,n,omim_disease,"46,XX SEX REVERSAL 5|CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 4",dd,CONGENITAL HEART DEFECTS and XX sex reversal,definitive,monoallelic_autosomal
OTX1,HGNC:8521,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,NE005,-,y,MGI:97450,-,-,-,-,102.040.816.326.531,-195.746.496.565.601,n,-,-,-,-,-,-
OVOL1,HGNC:8525,approved_symbol,gene_with_protein_product,JAX,-,NWU,-,ExE027,-,y,MGI:1330290,viable,-,decreased erythrocyte cell number|abnormal coat/hair pigmentation|abnormal vibrissa morphology|decreased hematocrit|thrombocytopenia|decreased hemoglobin content,-,463.821.892.393.321,-791.049.819.651.488,n,-,-,-,-,-,-
PAX6,HGNC:8620,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,NE001,-,y,MGI:97490,lethal,"abnormal placenta morphology|abnormal placenta vasculature|preweaning lethality, complete penetrance|abnormal craniofacial morphology|facial cleft|anophthalmia|cleft palate",hyperactivity|corneal vascularization|abnormal eye morphology|small liver|increased monocyte cell number|microphthalmia|anophthalmia|corneal opacity|abnormal brain morphology|cataract|developmental dysplasia|abnormal liver morphology|abnormal placenta morphology,-,0,351.945.609.005.453,n,omim_disease,"COLOBOMA OF OPTIC NERVE|COLOBOMA, OCULAR, AUTOSOMAL DOMINANT|ANIRIDIA 1|ANTERIOR SEGMENT DYSGENESIS 5|FOVEAL HYPOPLASIA 1|KERATITIS, HEREDITARY|OPTIC NERVE HYPOPLASIA, BILATERAL",dd,PETERS ANOMALY|ANIRIDIA,definitive|definitive,monoallelic_autosomal|monoallelic_autosomal
PHOSPHO1,HGNC:16815,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE016,-,y,MGI:2447348,-,-,-,-,0,-709.677.906.213.173,n,-,-,-,-,-,-
PITX1,HGNC:9004,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,ExE047,-,y,MGI:107374,lethal,"preweaning lethality, complete penetrance",polysyndactyly|abnormal joint morphology|abnormal nail morphology|abnormal autopod morphology|abnormal cornea morphology|vertebral transformation|abnormal digit morphology|abnormal tibia morphology|abnormal femur morphology|fused phalanges,-,463.821.892.393.321,-785.075.066.225.832,n,omim_disease,"CLUBFOOT, CONGENITAL, WITH OR WITHOUT DEFICIENCY OF LONG BONES AND/OR MIRROR-IMAGE POLYDACTYLY|LIEBENBERG SYNDROME",dd,HOMEOTIC ARM-TO-LEG TRANSFORMATION ASSOCIATED WITH GENOMIC REARRANGEMENTS AT THE PITX1 LOCUS|CONGENITAL CLUBFOOT,strong|strong,monoallelic_autosomal|monoallelic_autosomal
POU2F3,HGNC:19864,approved_symbol,gene_with_protein_product,JAX,-,-,UCSF,ExE028,-,y,MGI:102565,viable,enlarged heart,-,-,463.821.892.393.321,508.586.560.249.858,n,-,-,-,-,-,-
POU3F1,HGNC:9214,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,NE019,-,y,MGI:101896,-,-,-,-,185.528.756.957.328,151.461.026.529.295,n,-,-,-,-,-,-
POU3F2,HGNC:9215,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,NE022,-,y,MGI:101895,-,-,-,-,371.057.513.914.657,583.410.569.050.597,n,-,-,-,-,-,-
POU3F3,HGNC:9216,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,NE013,-,y,MGI:102564,-,-,-,-,371.057.513.914.657,-854.608.483.704.436,n,omim_disease,SNIJDERS BLOK-FISHER SYNDROME,dd,INTELLECTUAL DISABILITY,definitive,monoallelic_autosomal
RFX4,HGNC:9985,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,NE017,-,y,MGI:1918387,-,-,-,-,927.643.784.786.642,-942.439.355.403.784,n,-,-,-,-,-,-
RLBP1,HGNC:10024,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE024,-,y,MGI:97930,viable,increased lean body mass|abnormal tooth morphology,-,-,927.643.784.786.642,269.334.725.334.488,n,omim_disease,BOTHNIA RETINAL DYSTROPHY|FUNDUS ALBIPUNCTATUS|NEWFOUNDLAND ROD-CONE DYSTROPHY,-,-,-,-
RUNX1,HGNC:10471,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,ExE032,-,y,MGI:99852,-,-,-,-,36.178.107.606.679,-214.051.988.151.786,n,omim_disease,"LEUKEMIA, ACUTE MYELOID|PLATELET DISORDER, FAMILIAL, WITH ASSOCIATED MYELOID MALIGNANCY",-,-,-,-
SIX3,HGNC:10889,approved_symbol,gene_with_protein_product,JAX,MSK,NWU,UCSF,NE004,T2D (DH),y,MGI:102764,-,-,-,-,185.528.756.957.328,-199.888.361.207.198,n,omim_disease,HOLOPROSENCEPHALY 2|SCHIZENCEPHALY,dd,HOLOPROSENCEPHALY,definitive,monoallelic_autosomal
SLC52A1,HGNC:30225,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE021,-,-,-,-,-,-,-,0,-303.535.377.207.908,n,omim_disease,RIBOFLAVIN DEFICIENCY,-,-,-,-
SMAD7,HGNC:6773,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE046,-,y,MGI:1100518,-,-,-,-,36.178.107.606.679,-101.862.568.220.147,n,omim_disease,"COLORECTAL CANCER, SUSCEPTIBILITY TO, 3",-,-,-,-
SNAI2,HGNC:11094,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,ExE002,-,y,MGI:1096393,subviable,"preweaning lethality, incomplete penetrance",enlarged heart,-,519.480.519.480.519,-102.529.393.616.731,n,omim_disease,"PIEBALD TRAIT|WAARDENBURG SYNDROME, TYPE 2D",-,-,-,-
SOX1,HGNC:11189,approved_symbol,gene_with_protein_product,JAX,-,-,UCSF,NE024,-,y,MGI:98357,-,-,-,-,463.821.892.393.321,564.444.263.342.061,n,-,-,-,-,-,-
SOX7,HGNC:18196,approved_symbol,gene_with_protein_product,JAX,-,-,UCSF,ExE031,-,y,MGI:98369,-,-,-,-,371.057.513.914.657,-188.953.043.031.389,n,-,-,-,-,-,-
SOX21,HGNC:11197,approved_symbol,gene_with_protein_product,JAX,-,-,UCSF,NE020,-,y,MGI:2654070,viable,abnormal skin morphology|cataract|increased monocyte cell number|increased neutrophil cell number|hydrocephaly|inflammation|abnormal heart morphology|corneal opacity|abnormal lymph node morphology|enlarged lymph nodes|abnormal kidney morphology|enlarged kidney|abnormal brain morphology|abnormal eyelid morphology|eye hemorrhage|small liver|abnormal vitreous body morphology|increased mean corpuscular volume|decreased lymphocyte cell number|enlarged heart|abnormal liver morphology,-,-,0,622.936.296.839.672,n,-,-,-,-,-,-
SP8,HGNC:19196,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,NE008,-,y,MGI:2443471,-,-,-,-,185.528.756.957.328,-494.346.006.517.262,n,-,-,-,-,-,-
STS,HGNC:11425,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE023,-,y,MGI:98438,-,-,-,-,0,175.429.970.138.932,n,omim_disease,"ICHTHYOSIS, X-LINKED",dd,"ICHTHYOSIS, X-LINKED",definitive,monoallelic_X_hem
TBR1,HGNC:11590,approved_symbol,gene_with_protein_product,JAX,-,NWU,-,NE026,-,y,MGI:107404,subviable,"preweaning lethality, incomplete penetrance",decreased circulating glucose level|decreased circulating creatinine level|increased erythrocyte cell number,-,278.293.135.435.993,-120.928.170.279.848,n,omim_disease,INTELLECTUAL DEVELOPMENTAL DISORDER WITH AUTISM AND SPEECH DELAY,dd,AUTISM,definitive,monoallelic_autosomal
TNFRSF1B,HGNC:11917,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE025,-,y,MGI:1314883,-,decreased locomotor activity|increased circulating total protein level|decreased prepulse inhibition|decreased T cell number|increased B cell number,-,-,0,-121.569.289.191.396,n,-,-,-,-,-,-
TREML2,HGNC:21092,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE009,-,y,MGI:2147038,-,-,-,-,584.415.584.415.584,-205.512.276.502.054,n,-,-,-,-,-,-
TWIST2,HGNC:20670,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,ExE029,-,y,MGI:104685,subviable,"preweaning lethality, incomplete penetrance",abnormal lung morphology|abnormal testis morphology|abnormal heart morphology|small testis|enlarged heart|enlarged lung,-,278.293.135.435.993,461.880.307.687.165,n,omim_disease,"ABLEPHARON-MACROSTOMIA SYNDROME|BARBER-SAY SYNDROME|FOCAL FACIAL DERMAL DYSPLASIA 3, SETLEIS TYPE",dd,ABLEPHARON MACROSTOMIA SYNDROME|SETLEIS SYNDROME,definitive|strong,monoallelic_autosomal|biallelic_autosomal
VSIR,HGNC:30085,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE017,-,y,MGI:1921298,viable,-,-,-,0,737.232.738.210.774,n,-,-,-,-,-,-
VTCN1,HGNC:28873,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE015,-,y,MGI:3039619,-,-,-,-,909.090.909.090.909,-295.299.213.379.035,n,-,-,-,-,-,-
ZBTB7C,HGNC:31700,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE049,-,y,MGI:2443302,-,-,-,-,927.643.784.786.642,62.434.212.856.139,n,-,-,-,-,-,-
ZFHX3,HGNC:777,approved_symbol,gene_with_protein_product,JAX,-,-,UCSF,ExE051,-,y,MGI:99948,-,-,-,-,927.643.784.786.642,201.110.213.473.724,n,omim_disease,PROSTATE CANCER,dd,ZFHX3-related developmental disorder (monoallelic),limited,monoallelic_autosomal
ZIC4,HGNC:20393,approved_symbol,gene_with_protein_product,JAX,-,NWU,-,NE027,-,y,MGI:107201,-,-,-,-,0,693.523.859.842.076,n,-,-,-,-,-,-
ZNF488,HGNC:23535,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE034,-,y,MGI:2686052,subviable,"abnormal spleen morphology|preweaning lethality, incomplete penetrance",-,-,0,-86.531.777.847.931,n,-,-,-,-,-,-
ZNF521,HGNC:24605,approved_symbol,gene_with_protein_product,JAX,-,-,-,NE010,-,y,MGI:95459,-,-,-,-,371.057.513.914.657,-160.667.952.315.819,n,-,-,-,-,-,-
ZNF703,HGNC:25883,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE019,-,y,MGI:2662729,-,-,-,-,278.293.135.435.993,922.092.942.913.581,n,-,-,-,-,-,-
ABCC8,HGNC:59,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,Xianming (DH),y,MGI:1352629,viable,impaired glucose tolerance|increased lean body mass,-,-,0,272.814.648.519.358,n,omim_disease,"TYPE 2 DIABETES MELLITUS|DIABETES MELLITUS, PERMANENT NEONATAL, 3|DIABETES MELLITUS, TRANSIENT NEONATAL, 2|HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 1|HYPOGLYCEMIA, LEUCINE-INDUCED",-,-,-,-
ACVR1B,HGNC:172,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1338944,lethal,"embryonic lethality prior to tooth bud stage|preweaning lethality, complete penetrance",abnormal uterus morphology|small adrenal glands|abnormal coat/ hair morphology|enlarged lymph nodes|small testis,-,120.593.692.022.263,-999.506.636.519.203,n,-,-,-,-,-,-
AP1G1,HGNC:555,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:101919,lethal,"preweaning lethality, complete penetrance|embryonic lethality prior to organogenesis",decreased lean body mass|abnormal retina morphology|hyperactivity|cataract|decreased bone mineral content|increased total body fat amount|increased vertical activity,-,435.992.578.849.722,-151.832.322.121.287,n,omim_disease,"USMANI-RIAZUDDIN SYNDROME, AUTOSOMAL DOMINANT|USMANI-RIAZUDDIN SYNDROME, AUTOSOMAL RECESSIVE",dd,"AP1G1-related intellectual disability, biallelic|AP1G1-related intellectual disability and epilepsy, monoallelic",limited|strong,biallelic_autosomal|monoallelic_autosomal
AP2B1,HGNC:563,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1919020,lethal,"abnormal embryo size|cleft palate|preweaning lethality, complete penetrance",decreased grip strength,-,185.528.756.957.328,-122.259.493.031.917,n,-,-,-,-,-,-
APH1A,HGNC:29509,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:2385110,lethal,"pale yolk sac|pallor|embryonic lethality prior to tooth bud stage|preweaning lethality, complete penetrance|abnormal embryo size",abnormal skin coloration|hyperactivity|abnormal coat appearance|abnormal retina outer nuclear layer morphology|decreased total retina thickness|increased bone mineral content,-,583.487.940.630.798,-54.004.540.252.905,y,-,-,-,-,-,-
ARHGEF7,HGNC:15607,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1860493,lethal,"preweaning lethality, complete penetrance",-,-,241.187.384.044.527,-308.613.207.890.737,n,-,-,-,-,-,-
ARID1A,HGNC:11110,approved_symbol,gene_with_protein_product,-,MSK,-,UCSF,-,TV genes,y,MGI:1935147,-,-,-,-,116.883.116.883.117,-21.981.583.787.963,n,omim_disease,COFFIN-SIRIS SYNDROME 2,dd,COFFIN-SIRIS SYNDROME,definitive,monoallelic_autosomal
ARID1B,HGNC:18040,approved_symbol,gene_with_protein_product,-,MSK,-,UCSF,-,TV genes,y,MGI:1926129,lethal|subviable,"male infertility|preweaning lethality, complete penetrance|edema|preweaning lethality, incomplete penetrance",increased circulating creatinine level|decreased prepulse inhibition|decreased locomotor activity|decreased fasting circulating glucose level|decreased exploration in new environment|abnormal freezing behavior|impaired cued conditioning behavior|increased freezing behavior|abnormal spleen morphology,-,352.504.638.218.924,-912.127.521.916.803,n,omim_disease,COFFIN-SIRIS SYNDROME 1,dd,COFFIN SIRIS SYNDROME,definitive,monoallelic_autosomal
ARID3A,HGNC:3031,approved_symbol,gene_with_protein_product,-,MSK,NWU,UCSF,-,"FUSIL ""developmental lethal""",y,MGI:1328360,lethal,"abnormal limb bud morphology|hemorrhage|abnormal embryo size|preweaning lethality, complete penetrance|abnormal placenta morphology",increased circulating triglyceride level|decreased hemoglobin content|increased mean corpuscular hemoglobin|decreased erythrocyte cell number|abnormal lens morphology|decreased hematocrit|increased circulating insulin level,-,463.821.892.393.321,-138.058.052.944.899,n,-,-,-,-,-,-
ARIH2,HGNC:690,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1344361,lethal,"embryonic growth retardation|abnormal embryo size|preweaning lethality, complete penetrance",polycystic kidney|abnormal embryo size|cystolithiasis|abnormal heart morphology|abnormal kidney morphology|enlarged heart|abnormal skin morphology|embryonic growth retardation|abnormal urinary bladder morphology,-,371.057.513.914.657,181.427.601.656.615,n,-,-,-,-,-,-
